Entity,Year,Banking and finance,Industry and manufacturing,Energy management,Physical sciences and engineering,Security,Life sciences,Transportation,Business,Telecommunications,Personal devices and computing
Canada,2020,3,6,2,4,2,20,9,11,11,28
Canada,2019,12,14,3,10,12,52,9,34,56,94
Canada,2018,21,21,11,36,27,72,34,49,68,170
Canada,2017,21,24,11,27,25,76,49,33,75,138
Canada,2016,13,20,8,16,21,70,43,51,54,136
Canada,2015,15,8,11,22,6,50,33,31,27,85
Canada,2014,2,4,12,10,5,30,11,5,16,48
Canada,2012,2,2,6,10,2,26,2,12,10,31
Canada,2013,1,4,3,12,1,37,6,11,9,36
Canada,2011,1,5,2,8,4,20,4,8,11,30
Canada,2010,0,1,4,6,2,18,1,7,6,31
China,2020,258,750,957,549,646,964,866,1550,2275,8977
China,2019,170,629,727,447,379,1002,576,1200,1804,6430
China,2018,200,449,566,306,330,783,526,1069,1550,5225
China,2017,148,293,357,168,189,467,384,616,950,3570
China,2014,7,44,95,25,22,97,54,56,82,286
China,2012,2,21,50,12,9,49,12,19,37,81
China,2016,58,177,240,113,108,357,261,290,456,1913
China,2015,16,67,122,44,51,154,99,83,218,610
China,2013,4,31,51,17,15,82,25,27,54,160
China,2011,2,11,39,18,5,37,8,11,25,42
China,2010,0,19,20,7,4,24,6,11,12,46
France,2020,5,3,8,7,12,8,21,7,16,31
France,2017,2,1,4,3,3,18,11,4,15,34
France,2015,1,1,3,4,2,7,6,1,2,10
France,2011,0,0,0,1,1,3,2,0,2,8
France,2019,9,5,5,3,16,13,31,8,41,67
France,2018,10,5,4,6,8,18,29,11,14,62
France,2016,3,2,3,2,7,10,14,1,13,23
France,2014,1,1,4,2,0,5,7,2,4,12
France,2013,0,3,4,2,0,3,7,3,0,6
France,2012,0,2,4,2,0,2,6,4,3,11
France,2010,1,0,0,0,1,5,0,1,4,8
Germany,2020,4,17,3,4,7,11,29,7,20,47
Germany,2019,4,23,9,8,6,28,74,7,27,75
Germany,2018,15,34,8,8,17,27,104,17,51,96
Germany,2016,13,11,12,7,10,28,88,14,28,56
Germany,2017,11,31,13,13,12,23,118,14,49,85
Germany,2015,2,9,3,2,1,17,48,7,15,20
Germany,2014,0,5,5,4,1,6,29,3,3,8
Germany,2013,2,3,2,8,3,3,17,5,4,16
Germany,2012,2,4,2,4,1,5,9,1,4,11
Germany,2011,1,2,7,3,1,4,4,2,0,10
Germany,2010,2,1,4,2,1,2,9,2,3,6
India,2019,0,0,0,0,2,0,0,0,1,4
India,2018,4,8,1,6,12,15,11,23,23,113
India,2017,8,8,2,1,9,27,11,31,39,127
India,2016,1,2,2,1,5,18,4,23,23,67
India,2015,3,2,2,0,2,13,2,14,12,44
India,2014,0,0,0,0,3,4,1,7,6,15
India,2013,1,2,3,2,2,8,1,4,2,18
India,2011,1,0,0,0,0,1,0,4,2,6
India,2012,1,1,0,0,0,1,0,6,3,8
India,2010,0,0,0,0,1,1,0,0,2,3
Japan,2020,14,33,26,27,17,33,52,25,58,147
Japan,2019,49,142,56,74,45,206,202,142,239,575
Japan,2018,62,182,77,90,75,302,347,178,339,950
Japan,2017,57,167,67,41,66,258,354,168,276,773
Japan,2016,34,95,38,30,54,183,252,94,143,454
Japan,2015,15,45,50,25,16,117,139,51,69,241
Japan,2014,10,17,46,9,18,86,88,35,47,175
Japan,2013,4,17,11,8,10,71,29,28,45,103
Japan,2012,2,23,23,7,9,59,25,31,39,97
Japan,2011,8,6,15,5,6,47,9,18,22,64
Japan,2010,1,3,18,2,4,31,15,18,17,71
Singapore,2020,3,0,0,0,4,0,2,5,3,9
Singapore,2019,14,3,0,1,6,9,4,11,15,35
Singapore,2018,11,5,3,9,13,17,9,10,27,48
Singapore,2017,7,4,0,3,7,15,7,14,22,31
Singapore,2016,5,2,1,3,7,6,3,11,12,27
Singapore,2015,3,2,1,4,2,9,1,4,6,15
Singapore,2014,2,0,1,1,0,7,0,1,2,12
Singapore,2013,1,0,0,3,0,12,0,2,2,7
Singapore,2012,1,1,1,0,0,3,1,4,1,6
Singapore,2011,0,1,0,0,0,1,0,1,1,3
Singapore,2010,0,1,1,1,0,7,1,0,0,6
United Kingdom,2020,1,3,1,3,5,1,7,2,15,32
United Kingdom,2019,4,7,6,15,15,15,23,7,38,77
United Kingdom,2018,6,14,4,20,9,27,23,21,37,78
United Kingdom,2016,7,10,1,5,17,16,15,22,32,70
United Kingdom,2014,2,1,3,3,0,10,5,2,7,18
United Kingdom,2017,5,10,5,16,13,22,25,14,31,83
United Kingdom,2015,2,2,4,10,5,7,6,8,14,29
United Kingdom,2013,0,2,3,8,2,8,4,6,10,28
United Kingdom,2012,2,0,1,2,2,6,4,5,1,15
United Kingdom,2011,3,1,1,1,2,3,0,5,7,10
United Kingdom,2010,1,0,0,1,0,2,2,2,2,7
United States,2020,298,122,75,96,415,420,355,716,1529,3146
United States,2019,445,257,140,171,699,788,990,1052,2335,5376
United States,2018,417,296,172,211,711,951,1301,1079,2416,5652
United States,2017,369,272,145,183,537,830,1060,1015,1989,4314
United States,2016,220,168,97,110,367,631,740,752,1200,2665
United States,2015,125,94,69,87,187,479,346,426,738,1672
United States,2014,61,53,63,58,122,316,167,295,496,1057
United States,2013,42,56,53,51,81,284,112,254,352,847
United States,2012,37,37,69,48,61,211,98,229,220,627
United States,2011,26,30,49,44,58,169,57,173,189,535
United States,2010,22,24,38,23,37,193,49,154,148,439
